’6bd41395,Zyriix,2019-12-22 13:40:56 +0800,Merge pull request #393 from doporg/apiChange’
’c5c83744,Zyriix,2019-12-22 13:36:09 +0800,修改message Server、rocketMQ相关配置，启动邮件发送服务 添加rocketMQ的部署文档’
’888f725d,Zyriix,2019-12-21 18:24:33 +0800,Merge pull request #392 from doporg/rocketMQandMail’
’7c08cf33,Zyriix,2019-12-21 18:22:41 +0800,修改message Server、rocketMQ相关配置，启动邮件发送服务 添加rocketMQ的部署文档’
’79c81b3f,Jerry,2019-12-18 16:15:04 +0800,Update application-local.yml’
’9a68fa32,Jerry,2019-12-18 16:01:02 +0800,Update application-local.yml’
’9d25603b,Zyriix,2019-12-18 11:37:41 +0800,Merge pull request #391 from doporg/updateOauth’
’86671ff7,Zyriix,2019-12-18 11:36:39 +0800,修改oauth2.0认证相关配置’
’13e9f057,zhangfuli,2019-12-16 21:29:55 +0800,Merge pull request #390 from doporg/v1-fixBug’
’e5d3a0f2,张富利,2019-12-16 21:28:01 +0800,新需求确定’
’dbec095e,zhangfuli,2019-12-16 21:26:48 +0800,Merge pull request #389 from doporg/v1-fixBug’
’90e4056b,张富利,2019-12-16 21:25:30 +0800,新需求确定’
’f3da69d3,552000264,2019-12-16 16:18:27 +0800,修改 k8s.yml deployment 配置’
’38f207f4,zhangfuli,2019-12-16 15:35:59 +0800,Merge pull request #388 from doporg/v1-fixBug’
’c13b2ea7,张富利,2019-12-16 15:35:07 +0800,mongo与docker凭证’
’35ad13f4,Jerry,2019-12-16 09:31:05 +0800,Update k8s.yaml’
’99372c9d,Jerry,2019-12-14 14:32:17 +0800,Update k8s.yaml’
’d86ff523,552000264,2019-12-14 12:04:57 +0800,修改 k8s.yml deployment 配置’
’fbeaa007,Jerry,2019-12-14 11:56:21 +0800,Update application-production.yml’
’a556e315,Jerry,2019-12-14 11:55:44 +0800,Update application.yml’
’c8042266,Jerry,2019-12-14 11:49:00 +0800,Update k8s.yaml’
’ef561c2c,Jerry,2019-12-14 11:38:37 +0800,Update k8s.yaml’
’9f91c5bd,Jerry,2019-12-14 11:24:58 +0800,Update k8s.yaml’
’9e29a3de,Jerry,2019-12-13 18:13:55 +0800,Update k8s.yaml’
’14bd3c89,552000264,2019-12-13 18:12:18 +0800,修改 k8s.yml deployment 配置’
’253ff5ad,552000264,2019-12-13 17:59:43 +0800,Merge remote-tracking branch 'origin/master'’
’b60a314d,552000264,2019-12-13 17:59:16 +0800,修改 k8s.yml deployment 配置’
’317b250b,Jerry,2019-12-12 20:08:41 +0800,Update application-production.yml’
’2fc8f6cf,Jerry,2019-12-12 20:07:54 +0800,Update application.yml’
’c6204e5b,Jerry,2019-12-12 20:01:31 +0800,Update application.yml’
’b939f1f8,Jerry,2019-12-12 20:00:58 +0800,Update application-production.yml’
’9a1ab2f8,552000264,2019-12-12 19:16:43 +0800,Merge remote-tracking branch 'origin/master'’
’7c68477d,552000264,2019-12-12 19:16:08 +0800,修改 k8s.yml deployment 配置’
’558fe022,张富利,2019-12-12 17:23:48 +0800,micro-services’
’304c0ed2,552000264,2019-12-12 16:56:19 +0800,修改 k8s.yml deployment 配置’
’06d0ed90,张富利,2019-12-11 20:13:39 +0800,误删public’
’c80a945e,张富利,2019-12-11 19:52:06 +0800,Merge remote-tracking branch 'origin/master'’
’ca8df9ab,张富利,2019-12-11 19:51:23 +0800,redis’
’43ee3615,552000264,2019-12-11 19:47:14 +0800,修改 k8s.yml deployment 配置’
’0663f932,张富利,2019-12-11 18:42:04 +0800,Merge remote-tracking branch 'origin/master'’
’8506d93e,张富利,2019-12-11 18:41:37 +0800,com.mysql.cj.jdbc.Driver’
’b4ec89c0,Zyriix,2019-12-11 18:37:00 +0800,Merge pull request #387 from doporg/newChange’
’7c2a5302,Zyriix,2019-12-11 18:28:37 +0800,Merge branch 'master' of https://github.com/clsaa/dop’
’214a5c08,张富利,2019-12-11 18:24:46 +0800,apiVersion’
’5be2772a,张富利,2019-12-11 18:23:04 +0800,apiVersion’
’aad250a1,张富利,2019-12-11 17:55:55 +0800,apiVersion’
’714d7718,张富利,2019-12-11 17:38:43 +0800,ambassador’
’af903123,zhangfuli,2019-12-11 17:19:20 +0800,Merge pull request #386 from doporg/newChange’
